Department,Dept_Std_Dev_Salary,Dept_Avg_Salary,CoefficientOfVariation,Outlier_Count
PWD,22379.82,54081.39,41,47
POL,19520.08,64627.41,30,37
HSD,20283.92,57033.48,36,24
PAR,18245.89,48997.58,37,18
PUD,21055.34,53733.42,39,17
SHF,17918.59,58587.35,31,14
CIT,23292.89,85091.31,27,11
FIR,18007.29,72818.45,25,9
MUS,22527.68,48815.84,46,6
LIB,19056.55,51307.8,37,6
EMS,21898.89,70420.29,31,6
PLN,22612.2,63219.85,36,5
CWA,36869.17,77204.04,48,3
TRE,20981.09,53106.69,40,3
FIN,26706.54,70598.81,38,3
CVB,20951.06,56411.43,37,3
HNP,15670.68,55625.91,28,3
CCC,25641.94,47720.64,54,2
COR,24278.21,56679.49,43,2
ECC,16469.23,52211.51,32,2
CMD,68918.53,107711.81,64,1
AGR,34426.74,63457.62,54,1
GRD,27133.11,53777.7,50,1
CUL,30134.15,63193.65,48,1
CAD,45415.42,93902.41,48,1
CLK,25562.12,59403.76,43,1
CIR,27153.87,64061.38,42,1
MSB,30136.39,71015.97,42,1
HRD,23888.98,65145.1,37,1
REA,24702.58,66437.16,37,1
COM,24824.62,68566.75,36,1
ECO,24584.25,70854.24,35,1
AUD,35562.14,88504.13,40,0
STR,31000.12,76835.76,40,0
OEM,28519.86,72316.82,39,0
PHD,20939.37,56395.66,37,0
RMO,23440.3,64189.17,37,0
JUV,13637.09,52366.34,26,0
